   Num:    Value          Size Type    Bind   Vis      Ndx Name
  3247: 00000000000c5610   208 FUNC    WEAK   DEFAULT   15 _ZN3mfw11sdpToSt[...]
  3249: 00000000001393fc   728 FUNC    WEAK   DEFAULT   15 _ZN3muf11SdpUnpa[...]
  3296: 0000000000102270    84 FUNC    GLOBAL DEFAULT   15 xlua_unpack_decimal
  3315: 00000000000ca540   608 FUNC    GLOBAL DEFAULT   15 KCP_SendMsg
  3322: 00000000000e36bc    16 FUNC    GLOBAL DEFAULT   15 _ZN9LuaSdpMapC1E[...]
  3324: 0000000000135d64    44 FUNC    WEAK   DEFAULT   15 _ZN7sdpxlua13Lua[...]
  3336: 0000000000133cb8    36 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua17Lua[...]
  3377: 00000000000a9e9c   244 FUNC    GLOBAL DEFAULT   15 _ZN14PipeConnect[...]
  3385: 00000000000ca1e8   296 FUNC    GLOBAL DEFAULT   15 KCP_ReceiveCycle[...]
  3386: 00000000000e5588   980 FUNC    WEAK   DEFAULT   15 _ZNK12LuaSdpStru[...]
  3387: 00000000000e9970  1984 FUNC    WEAK   DEFAULT   15 _ZN17LuaSdpValue[...]
  3392: 0000000000101da8    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_float
  3395: 0000000000133f70   124 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua18Lua[...]
  3397: 0000000000101d0c    88 FUNC    GLOBAL DEFAULT   15 xlua_pack_int64_t
  3401: 00000000000e95e8   904 FUNC    WEAK   DEFAULT   15 _ZNK12LuaSdpStru[...]
  3419: 0000000000133f50    32 FUNC    GLOBAL DEFAULT   15 _ZNK7sdpxlua18Lu[...]
  3420: 000000000013856c   316 FUNC    WEAK   DEFAULT   15 _ZN3muf9SdpPacke[...]
  3430: 0000000000138430   316 FUNC    WEAK   DEFAULT   15 _ZN3muf9SdpPacke[...]
  3448: 0000000000133c6c    76 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua17Lua[...]
  3471: 0000000000101e00    68 FUNC    GLOBAL DEFAULT   15 xlua_unpack_float
  3516: 00000000001c1ab0    40 OBJECT  WEAK   DEFAULT   17 _ZTVN3muf12SdpEx[...]
  3517: 0000000000133e50   124 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua12Lua[...]
  3521: 00000000000a9f90   260 FUNC    GLOBAL DEFAULT   15 _ZN14PipeConnect[...]
  3531: 0000000000133ecc   132 FUNC    GLOBAL DEFAULT   15 _ZN7sdpxlua18Lua[...]
